id,osm_id,osm_type,coordinates,name,description,amenity,bicycle_parking,capacity,access,covered,fee,supervised,lit,operator,operator_type,building,level,surface,addr_city,addr_street,addr_housenumber,addr_suburb,addr_postcode,opening_hours,payment_none,ref,source,source_date,wikidata,wikipedia,created_at,updated_at
110,way/544848453,way,POINT(-49.0198717 -28.4816223),,,bicycle_parking,,,yes,yes,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
111,way/547385915,way,POINT(-43.2074041 -22.115108),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
112,way/548642905,way,POINT(-47.3103635 -22.7337945),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
113,way/552441134,way,POINT(-47.1845838 -1.1988499),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
114,way/561367248,way,POINT(-42.9440121 -21.1051329),,,bicycle_parking,,,private,yes,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
115,way/562107862,way,POINT(-42.9486532 -21.1076495),,,bicycle_parking,,,private,yes,,,,D.R.E,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
116,node/562181417,node,POINT(-43.1928253 -22.9762808),,,bicycle_parking,stands,12,yes,no,no,,,,,,,,,,,,,,,,survey,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
117,way/565576212,way,POINT(-40.334668 -20.3563436),,,bicycle_parking,wall_loops,,,no,,yes,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
118,way/590859350,way,POINT(-46.6664889 -23.5626203),,,bicycle_parking,,6,yes,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
119,way/590871632,way,POINT(-54.0492688 -24.5576323),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
120,way/590871641,way,POINT(-54.0451678 -24.5679254),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
121,way/591104615,way,POINT(-54.1066623 -24.5591387),,,bicycle_parking,,,,yes,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
122,way/591448494,way,POINT(-58.3455613 -15.4668132),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
123,way/593151215,way,POINT(-42.5294425 -19.4776345),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
124,way/593860438,way,POINT(-50.1442353 -25.0592375),,,bicycle_parking,,,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
125,way/594287323,way,POINT(-49.4935251 -28.9475788),,,bicycle_parking,ground_slots,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
