our_code,cttu_code,law_code,description,category,total
,"5452","Art. 181; Inc. VIII","Estacionar o veículo ao lado ou sobre canteiros centrais divisores de pista de rolamento.","Estacionamento/uso da via",171
,"7285","Art. 250; Inc. III","Quando o veículo estiver em movimento deixar de manter a placa traseira iluminada, à noite.","Administrativas/documentais",170
,"5231","Art. 172","Atirar do veículo objetos ou substâncias.","Segurança viária",166
,"5452","Art. 181; Inc. VIII","Estacionar o veículo nas ilhas ou refúgios.","Estacionamento/uso da via",161
,"5037","Art. 162; Inc. III","Dirigir veculo com Carteira Nacional de Habilitao de categoria diferente da do veculo.","Administrativas/documentais",154
,"6483","Art. 227; Inc. I","Usar buzina em situação que não a de simples toque breve como advertência ao pedestre ou a condutore","Outras/não classificadas",151
,"5495","Art. 181; Inc. XII","Estacionar o veculo na rea de cruzamento de vias, prejudicando a circulao de veculos e pedestre","Fluidez do trânsito",147
,"5959","Art. 203; Inc. IV","Ultrapassar pela contramo outro veculo parado em fila junto a sinais luminosos.","Segurança viária",146
,"5037","Art. 162; Inc. III","Dirigir veículo com Carteira Nacional de Habilitação de categoria diferente da do veículo.","Administrativas/documentais",136
,"6610","Art. 230; Inc. VII","Conduzir o veículo com a característica alterada.","Administrativas/documentais",133
,"6556","Art. 230; Inc. I","Conduzir o veículo com o lacre de identificação violado ou falsificado.","Administrativas/documentais",129
,"6564","Art. 230; Inc. II","Conduzir o veculo transportando passageiros em compartimento de carga.","Segurança viária",128
,"5401","Art. 181; Inc. III","Estacionar o veculo afastado da guia da calada (meio-fio) a mais de um metro.","Estacionamento/uso da via",128
,"5770","Art. 189","Deixar de dar passagem as ambulâncias, em serviço de urgência e devidamente identificados.","Segurança viária",128
,"5029","Art. 162; Inc. II","Dirigir veículo com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Con","Administrativas/documentais",126
,"7099","Art. 244; Inc. VII","Conduzir motocicleta, motoneta, ciclomotor sem segurar o guidom com ambas as mos.","Segurança viária",121
,"5606","Art. 182; Inc. IV","Parar o veculo em desacordo com as posies estabelecidas no Cdigo de Trnsito Brasileiro.","Estacionamento/uso da via",119
,"7579","Art. 165-A","Recusar-se a ser submetido a teste, exame clnico, percia ou outro procedimento que permita certifi","Segurança viária",117
,"7366","Art. 252; Inc. VI","Dirigir o veículo utilizando-se de fones nos ouvidos conectados à aparelhagem sonora.","Segurança viária",116
,"5827","Art. 194","Transitar em marcha à ré, salvo na distância necessária a pequenas manobras e de forma a não causar","Segurança viária",114
,"6580","Art. 230; Inc. IV","Conduzir o veculo sem qualquer uma das placas de identificao.","Administrativas/documentais",113
,"5401","Art. 181; Inc. III","Estacionar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.","Estacionamento/uso da via",112
,"5576","Art. 182; Inc. I","Parar o veculo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.","Estacionamento/uso da via",107
,"5215","Art. 170","Dirigir ameaando os demais veculos.","Pedestres",107
,"5215","Art. 170","Dirigir ameaçando os pedestres que estejam atravessando a via pública.","Pedestres",106
,"6025","Art. 206; Inc. IV","Executar operação de retorno nas interseções, entrando na contramão de direção da via transversal.","Segurança viária",106
,"6670","Art. 230; Inc. XIII","Conduzir o veículo com o equipamento do sistema de iluminação e de sinalização alterados.","Segurança viária",105
,"7056","Art. 244; Inc. III","Conduzir motocicleta, motoneta, ciclomotor fazendo malabarismo ou equilibrando-se em uma roda.","Segurança viária",102
,"5967","Art. 203; Inc. V","Ultrapassar pela contramão outro veículo onde houver marcação viária longitudinal de divisão de flux","Segurança viária",101
,"5169","Art. 165","Dirigir sob a influncia de lcool.","Segurança viária",101
,"6912","Art. 232","Conduzir veículo sem os documentos de porte obrigatório referidos no CTB.","Administrativas/documentais",99
,"6017","Art. 206; Inc. III","Executar operação de retorno passando por cima de calçada, passeio.","Pedestres",98
,"6637","Art. 230; Inc. IX","Conduzir o veculo sem equipamento obrigatrio.","Segurança viária",97
,"6530","Art. 228","Usar no veículo equipamento com som em volume ou freqüência que não sejam autorizados pelo CONTRAN.","Outras/não classificadas",97
,"6637","Art. 230; Inc. IX","Conduzir o veículo sem equipamento obrigatório.","Segurança viária",95
