law_code,canonical_description,category,total_rows
Art. 191,"Forçar passagem entre veículos que, transitando em sentidos opostos, estejam na iminência de passar um pelo outro ao realizar operação de ultrapassagem.",Segurança viária,398
Art. 191 do CTB,"Forçar passagem entre veículos que, transitando em sentidos opostos, estejam na iminência de passar um pelo outro ao realizar operação de ultrapassagem.",,112
Art. 192,"Deixar de guardar distância de segurança lateral e frontal entre o seu veículo e os demais, bem como em relação ao bordo da pista.",Segurança viária,51
Art. 192,"Deixar de guardar distância de segurança lateral e frontal entre seu veículo e os demais, bem como em relação ao bordo da pista, considerando a velocidade, as condições climáticas do local da circulação e do veículo.",Segurança viária,163
Art. 193,"Transitar com o veículo em calçadas, passeios, passarelas, ciclovias, ciclofaixas, ilhas, refúgios, ajardinamentos, canteiros centrais e divisores de pista de rolamento, acostamentos, marcas de canalização, gramados e jardins públicos.",Pedestres,2542
Art. 193,Transitar com veículo em acostamentos.,Segurança viária,116
Art. 193,"Transitar com veículo em ajardinamentos, gramados e jardins públicos.",Pedestres,249
Art. 193,Transitar com veículo em calçadas e passeios.,Pedestres,15002
Art. 193,Transitar com veículo em canteiros centrais divisores de pista de rolamento.,Pedestres,11656
Art. 193,Transitar com veículo em ciclovias ou ciclofaixas.,Ciclistas,7100
Art. 193,Transitar com veículo em ilhas ou refúgios.,Pedestres,582
Art. 193,Transitar com veículo em marcas de canalização.,Pedestres,13784
Art. 193,Transitar com veículo em passarelas.,Pedestres,387
Art. 194,"Transitar em marcha  r, salvo na distncia necessria a pequenas manobras e de forma a no causar",Segurança viária,367
Art. 194,"Transitar em marcha à ré, salvo na distância necessária a pequenas manobras e de forma a não causar riscos à segurança.",Segurança viária,885
Art. 195,Desobedecer às ordens emanadas da autoridade competentee de trânsito ou de seus agentes.,Administrativas/documentais,17999
Art. 196,"Deixar de indicar com antecedência, mediante gesto regulamentar de braço ou luz indicadora de direção de veículo, o início da marcha, a realização da manobra de parar o veículo, a mudança de direção ou de faixa de circulação.",Segurança viária,11597
Art. 196,"Deixar de indicar com antecedência, mediante gesto regulamentar de braço ou luz indicadora de direção do veículo, mudança de direção.",Segurança viária,2057
Art. 196,"Deixar de indicar com antecedência, mediante gesto regulamentar de braço ou luz indicadora de direção do veículo, o início da marcha.",Segurança viária,110
Art. 197,"Deixa de deslocar, com antecedência, o veículo para a faixa mais à esquerda ou mais à direita, dentro da respectiva mão de direção, quando for manobrar para um desses lados.",Segurança viária,117
Art. 197,"Deixar de deslocar, com antecedncia, o veculo para a faixa mais  direita, quando for manobrar.",Segurança viária,6146
Art. 197,"Deixar de deslocar, com antecedncia, o veculo para a faixa mais  esquerda, quando for manobrar.",Segurança viária,7825
Art. 197,"Deixar de deslocar, com antecedência, o veículo para a faixa mais à à esquerda, quando for manobrar.",Segurança viária,11183
Art. 198,"Deixar de dar passagem pela à esquerda, quando solicitado.",Fluidez do trânsito,9
Art. 199,"Ultrapassar pela direita, salvo quando o veículo da frente estiver colocado na faixa apropriada e der sinal de que vai entrar à esquerda.",Segurança viária,149
Art. 200,"Ultrapassar pela direita veículo de transporte coletivo ou de escolares, parado para embarque ou desembarque de passageiros, salvo quando houver refúgio de segurança para o pedestre.",Pedestres,2
Art. 200,"Ultrapassar pela direita veículo de transporte coletivo ou de escolares, parado para embarque ou desembarque de passageiros.",Pedestres,10
Art. 201,"Deixar de guardar a distância lateral de 1,5 m ao passar ou ultrapassar bicicleta.",Ciclistas,348
Art. 201,Deixar de guardar a distância lateral de um metro e cinqüenta centímetros ao passar ou ultrapassar bicicleta.,Ciclistas,7
"Art. 202, Inc. I",Ultrapassar outro veículo pelo acostamento.,Segurança viária,5
"Art. 202, Inc. II",Ultrapassar outro veículo em interseções.,Segurança viária,36
