type,geometry.type,geometry.coordinates,properties.id,properties.status_type,properties.status_value,properties.length,properties.city_id,properties.osm_id,properties.name,properties.pdc_typology,properties.cycleway_typology
Feature,LineString,"-34.94686,-8.08987,-34.94686,-8.09016,-34.94686,-8.09025,-34.94686,-8.0905",59,pdc_nao_realizado,0.03521142771392042,0.03521142771392042,2611606,way/30811833,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.94689,-8.08917,-34.94687,-8.08955,-34.94686,-8.08987",60,pdc_nao_realizado,0.03896696859030121,0.03896696859030121,2611606,way/30811834,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.94669,-8.08987,-34.94672,-8.08914",61,pdc_nao_realizado,0.040586846603856794,0.040586846603856794,2611606,way/30811835,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.94672,-8.08914,-34.94671,-8.08892,-34.94672,-8.08886,-34.94672,-8.0888,-34.94672,-8.08872,-34.94672,-8.08861,-34.9467,-8.08837,-34.94669,-8.08833,-34.94668,-8.08823,-34.94663,-8.08789,-34.94651,-8.08742,-34.94638,-8.08704",62,pdc_nao_realizado,0.11885130910576265,0.11885130910576265,2611606,way/30811836,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.943,-8.11908,-34.94314,-8.11869,-34.94355,-8.11762,-34.94379,-8.11701,-34.94409,-8.11624,-34.94439,-8.11547",63,pdc_nao_realizado,0.21498180599824956,0.21498180599824956,2611606,way/30811884,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.94314,-8.11917,-34.94302,-8.11959",64,pdc_nao_realizado,0.024042367081674704,0.024042367081674704,2611606,way/30811885,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.94302,-8.11959,-34.943,-8.11984,-34.94298,-8.12,-34.94298,-8.12017,-34.94297,-8.12041",65,pdc_nao_realizado,0.04585049311167435,0.04585049311167435,2611606,way/30811891,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.9379,-8.17128,-34.93771,-8.171,-34.9376,-8.17079,-34.93755,-8.17069,-34.9375,-8.17056,-34.93746,-8.17043",66,pdc_nao_realizado,0.053286068399898155,0.053286068399898155,2607901,way/30811901,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.93746,-8.17043,-34.93742,-8.17027,-34.93739,-8.17016,-34.93738,-8.17003,-34.93735,-8.16986,-34.93736,-8.1697,-34.93736,-8.16958,-34.93737,-8.16939,-34.93738,-8.16933,-34.93747,-8.16895,-34.93753,-8.16873,-34.93763,-8.16837",67,pdc_nao_realizado,0.11674677189775388,0.11674677189775388,2607901,way/30811902,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.94237,-8.15241,-34.94247,-8.15215,-34.9426,-8.15188,-34.94272,-8.15165,-34.94276,-8.15153,-34.9428,-8.1514",68,pdc_nao_realizado,0.0609014450960165,0.0609014450960165,2607901,way/30811903,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.94228,-8.04023,-34.94206,-8.03962,-34.94191,-8.0391,-34.9418,-8.03865,-34.9416,-8.03771",69,pdc_nao_realizado,0.1452658194163384,0.1452658194163384,2611606,way/30812771,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.9416,-8.03771,-34.94151,-8.03733,-34.94143,-8.0368,-34.9414,-8.03643,-34.94139,-8.03618",70,pdc_nao_realizado,0.08636270754148749,0.08636270754148749,2611606,way/30812772,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.9417,-8.03768,-34.94191,-8.03875,-34.94214,-8.03952,-34.94239,-8.04018",71,pdc_nao_realizado,0.14445472212400495,0.14445472212400495,2611606,way/30812774,Viaduto da Caxangá,Ciclovia,none
Feature,LineString,"-34.94419,-8.06306,-34.94425,-8.06293,-34.94443,-8.06255,-34.94462,-8.06218",72,pdc_nao_realizado,0.054722958341083074,0.054722958341083074,2611606,way/80453543,Avenida Visconde de São Leopoldo,Ciclovia,none
Feature,LineString,"-34.94559,-8.06035,-34.94572,-8.05993,-34.94577,-8.05974,-34.94581,-8.0596,-34.94588,-8.0593,-34.946,-8.05879,-34.94607,-8.05847,-34.94611,-8.05823,-34.94613,-8.05815,-34.94617,-8.05797",73,pdc_nao_realizado,0.13622591697448777,0.13622591697448777,2611606,way/80453551,Avenida Visconde de São Leopoldo,Ciclovia,none
Feature,LineString,"-34.94161,-8.03562,-34.94159,-8.03576",74,pdc_nao_realizado,0.008069861031877115,0.008069861031877115,2611606,way/105059088,Avenida Professor Joaquim Cavalcanti,Ciclovia,none
