street_code,street_name,total_violations,extension_km,violations_per_km,by_year.2007,by_year.2008,by_year.2009,by_year.2010,by_year.2011,by_year.2012,by_year.2013,by_year.2014,by_year.2015,by_year.2016,by_year.2017,by_year.2018,by_year.2019,by_year.2020,by_year.2021,by_year.2022,by_year.2023,by_year.2024,by_year.2025,top_violation.description,top_violation.percentage
1465,Avenida Conselheiro Aguiar,100254,5.13,19526.28,1720,977,1502,1852,1541,2353,15375,11082,5752,4255,3934,7714,11366,11116,8217,5900,3175,1376,1047,Estacionar o veículo no passeio.,24.63
57150,Avenida Republica do Libano,73323,0.9,81104.98,,4,29,14,13,105,294,9728,3521,2776,2302,10115,9630,15677,8638,4401,2553,2582,941,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",83.24
36641,Avenida Doutor José Rufino,68525,3.99,17189.54,681,391,425,512,2279,7177,4617,1550,4236,3415,3312,4114,4240,2458,6208,6139,5352,9249,2170,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,41.1
36374,Avenida Desembargador José Neves,63522,2.84,22348.64,16,7,19,11,8,9,53,241,166,1824,16884,9533,10032,4132,2538,4462,6490,4546,2551,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,46.5
66290,Praça do Derby,57278,1.68,34071.08,512,231,247,352,460,445,604,1533,1740,1036,6838,5249,5763,4278,4521,6960,9314,4888,2307,Transitar em locais e horários não permitidos pela regulamentação estabelecida pela autoridade competente — para todos os tipos de veículos.,31.97
47406,Avenida Marquês de Olinda,50546,0.33,154256.42,612,329,244,454,363,406,296,1574,9925,4831,4051,3155,5797,4060,4252,4265,5285,585,62,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",54.21
119423,Avenida Celso Furtado,49269,8.61,5722.83,,,,,,,,620,3011,6319,2164,8937,6102,7816,5309,3524,2290,1971,1206,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",90.57
28290,Rua Guilherme Pinto,48443,0.44,110727.7,1914,1304,1281,1664,1052,1450,1595,1213,3852,2747,2559,2895,2237,4441,3756,3373,5650,4349,1111,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",53.85
48585,Rua da Palma,47431,0.62,76575.19,2192,1926,2362,2011,2381,2648,1996,2256,4162,4191,2974,2788,4085,2862,1923,1906,2247,1878,643,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,52.59
57061,Estrada dos Remédios,46933,2.48,18951.31,571,934,892,887,1255,968,1514,1693,1885,2271,5303,5102,7657,6919,3685,1599,917,2270,611,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,28.65
50393,Rua Imperador Dom Pedro II,45781,0.51,89196.58,1766,2099,3869,3965,2841,3568,2294,2723,2978,3393,2844,2442,3052,2079,1590,1569,1552,893,264,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,42.17
40371,Avenida General Mac Arthur,40125,1.22,32966.16,121,70,104,66,102,1277,2808,14551,5287,572,435,319,5978,4309,2008,1654,115,197,152,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",58.83
97403,Rua Dr João Santos Filho,40118,0.87,46097.57,152,260,1249,1768,1065,1269,529,943,1092,1681,3656,250,4988,6578,2520,5532,4632,1659,295,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,54.99
17264,Rua da Concórdia,39215,0.88,44640.9,1486,1146,1676,1313,1485,2684,2106,2109,2681,2739,2618,2952,3985,2574,2134,1973,1524,1536,494,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,40.74
80438,Rua Professor Arnaldo Carneiro Leão,38295,0.47,81064.68,128,32,3,7,2,4,17,299,4285,2860,3811,5066,9040,1334,598,1467,2312,4795,2235,Executar operação de conversão à direita ou à esquerda em locais proibidos pela sinalização.,43
2496,Avenida Alfredo Lisboa,37854,1.06,35740.82,1761,1236,2996,2251,1910,1304,869,1386,1883,1935,1489,4149,4385,3905,2645,2186,1241,222,101,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",41.06
18481,Avenida Cruz Cabuga,34392,3.35,10261.48,2108,1110,1519,2083,1367,1842,3257,1748,567,1192,2937,2541,3448,3744,1102,1104,1210,965,548,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,26.63
19526,Avenida Dezessete de Agosto,32432,3.16,10273.94,855,911,984,844,479,1070,1595,989,2457,2630,4646,3324,4485,2836,1606,914,380,1226,201,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",15.23
43370,Avenida Martins de Barros,32243,0.92,35028.75,552,565,1178,1296,1487,1659,1345,1329,2444,2809,2927,3613,3579,1476,1370,1055,1619,1678,262,Executar operação de conversão à direita ou à esquerda em locais proibidos pela sinalização.,20.37
26565,Rua Gervásio Pires,29493,1.14,25923.71,1159,1313,788,1013,1158,1529,1173,972,1504,1680,2945,2721,4079,2455,2042,1364,942,541,115,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,20.46
56391,Avenida Sul Gov. Cid Sampaio,29429,13.83,2128.12,1761,1428,1449,2992,2027,2086,1640,1954,1188,1573,1835,1295,780,1698,1752,1312,1146,1154,359,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,23.04
9164,Rua da Aurora,29416,2.89,10179.09,399,729,986,2965,1962,2162,962,1625,1158,2411,2614,3263,3330,2265,796,701,333,646,109,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,26.5
22713,Rua do Espinheiro,29243,0.93,31295.43,64,86,94,232,278,351,385,296,1051,2778,4634,5125,5570,3115,2907,1426,537,248,66,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,82.9
