_id	mes	equipamento	faixa	data	hora	minutos_intervalo	qtd_0a10km	qtd_11a20km	qtd_21a30km	qtd_31a40km	qtd_41a50km	qtd_51a60km	qtd_61a70km	qtd_71a80km	qtd_81a90km	qtd_91a100km	qtd_acimade100km
198	8	FC004REC	1	2025-08-03T00:00:00	1	46-59	0	1	0	3	1	0	0	0	0	0	0
199	8	FC004REC	1	2025-08-03T00:00:00	2	16-30	0	0	2	1	3	0	0	0	0	0	0
200	8	FC004REC	1	2025-08-03T00:00:00	2	31-45	0	1	1	1	0	0	0	0	0	0	0
201	8	FC004REC	1	2025-08-03T00:00:00	2	46-59	0	0	1	0	1	0	0	0	0	0	0
202	8	FC004REC	1	2025-08-03T00:00:00	3	0-15	0	0	1	1	0	0	0	0	0	0	0
203	8	FC004REC	1	2025-08-03T00:00:00	3	16-30	0	0	2	2	1	0	0	0	0	0	0
204	8	FC004REC	1	2025-08-03T00:00:00	3	31-45	0	0	0	2	1	1	0	0	0	0	0
205	8	FC004REC	1	2025-08-03T00:00:00	3	46-59	0	0	1	1	0	0	0	0	0	0	0
206	8	FC004REC	1	2025-08-03T00:00:00	4	0-15	0	0	2	1	1	0	0	0	0	0	0
207	8	FC004REC	1	2025-08-03T00:00:00	4	16-30	0	1	1	2	1	0	0	0	0	0	0
208	8	FC004REC	1	2025-08-03T00:00:00	4	31-45	0	1	1	1	1	0	0	0	0	0	0
209	8	FC004REC	1	2025-08-03T00:00:00	4	46-59	0	1	0	0	0	0	0	0	0	0	0
210	8	FC004REC	1	2025-08-03T00:00:00	5	0-15	2	3	0	0	0	0	0	0	0	0	0
211	8	FC004REC	1	2025-08-03T00:00:00	5	16-30	1	7	0	0	0	1	1	0	0	0	0
212	8	FC004REC	1	2025-08-03T00:00:00	5	31-45	2	4	1	1	0	0	0	0	0	0	0
213	8	FC004REC	1	2025-08-03T00:00:00	5	46-59	3	6	1	1	1	0	0	0	0	0	0
214	8	FC004REC	1	2025-08-03T00:00:00	6	0-15	2	8	2	0	3	0	0	0	0	0	0
215	8	FC004REC	1	2025-08-03T00:00:00	6	16-30	1	8	3	2	4	1	0	0	0	0	0
216	8	FC004REC	1	2025-08-03T00:00:00	6	31-45	2	9	1	0	5	1	1	0	0	0	0
217	8	FC004REC	1	2025-08-03T00:00:00	6	46-59	1	8	0	1	8	1	0	0	0	0	0
218	8	FC004REC	1	2025-08-03T00:00:00	7	0-15	1	9	4	6	3	0	0	0	0	0	0
219	8	FC004REC	1	2025-08-03T00:00:00	7	16-30	1	7	11	10	2	0	0	0	0	0	0
220	8	FC004REC	1	2025-08-03T00:00:00	7	31-45	2	8	5	13	3	1	0	0	0	0	0
221	8	FC004REC	1	2025-08-03T00:00:00	7	46-59	2	12	11	10	2	0	0	0	0	0	0
222	8	FC004REC	1	2025-08-03T00:00:00	8	0-15	1	9	11	11	1	0	0	0	0	0	0
223	8	FC004REC	1	2025-08-03T00:00:00	8	16-30	2	7	2	8	4	0	0	0	0	0	0
224	8	FC004REC	1	2025-08-03T00:00:00	8	31-45	0	7	9	7	6	0	0	0	0	0	0
