id,code,name_concatenated,official_name,short_name,pavement_code,pavement_description
9033,81183,TRV EXP JESUINO VENTURA,Travessa Expedicionário Jesuíno Ventura,Trv Exp Jesuíno Ventura,N,Via Não Pavimentada
10179,96210,TRV EXP LAURENTINO NONATO,Travessa Exp Laurentino Nonato,Trv Exp Laurentino Nonato,X,Não definida
10184,96318,TRV FAGUNDES,Travessa Fagundes,Trv Fagundes,S,Via Pavimentada
10683,110078,TRV FARIAS LEMOS,Travessa Farias Lemos,Trv Farias Lemos,X,Não definida
10483,101281,TRV FASCINACAO,Travessa Fascinação,Trv Fascinacao,X,Não definida
11859,701343,TRV FATIMA TEIXEIRA,Travessa Fátima Teixeira,Trv Fatima Teixeira,X,Não definida
11069,114553,TRV FAUSTO RABELO,Travessa Fausto Rabelo,Trv Fausto Rabelo,X,Não definida
10831,111589,TRV FELIPE MOURA,Travessa Felipe Moura,Trv Felipe Moura,X,Não definida
10604,108863,TRV FERNANDO AECIO G SOUZA,Travessa Fernando Aécio G Souza,Trv Fernando Aecio G Souza,N,Via Não Pavimentada
9949,91820,TRV FERVEDOURO,Travessa Fervedouro,Trv Fervedouro,S,Via Pavimentada
5739,47538,TRV FIRMINOPOLIS,Travessa Firminópolis,Trv Firminópolis,S,Via Pavimentada
11107,115010,TRV FLOR DO SERTAO,Travessa Flor do Sertão,Trv Flor do Sertao,S,Via Pavimentada
10957,113123,TRV FLORESTA,Travessa Floresta,Trv Floresta,P,Via Parcialmente Pavimentada
10705,115371,TRV FLORIANO,Travessa Floriano,trv. Floriano,S,Via Pavimentada
11150,115797,TRV FRANCISCO BELTRAO,Travessa Francisco Beltrão,Trv Francisco Beltrao,P,Via Parcialmente Pavimentada
8724,77240,TRV FRANCISCO BERENGUER,Travessa Francisco Berenguer,Trv Francisco Berenguer,N,Via Não Pavimentada
8209,71552,TRV FRANCISCO DO REGO,Travessa Francisco do Rego,Trv Francisco do Rego,N,Via Não Pavimentada
8758,77941,TRV FRANCISCO LACERDA,Travessa Francisco Lacerda,Trv Francisco Lacerda,S,Via Pavimentada
11449,119466,TRV FRANCISCO LEOPOLDINO,Travessa Francisco Leopoldino,Trv Francisco Leopoldino,N,Via Não Pavimentada
10969,113255,TRV FRANCISCO RODRIGUES LOBO,Travessa Francisco Rodrigues Lobo,Trv Francisco Rodrigues Lobo,P,Via Parcialmente Pavimentada
8634,76260,TRV FREDERICO OZANAN,Travessa Frederico Ozanan,Trv Frederico Ozanan,S,Via Pavimentada
11495,120588,TRV FREI DAMIAO,Travessa Frei Damião,Trv Frei Damiao,X,Não definida
8978,80497,TRV FREI LOUREIRO,Travessa Frei Loureiro,Trv Frei Loureiro,S,Via Pavimentada
11151,115800,TRV FREI LUIS DE SOUSA,Travessa Frei Luis de Sousa,Trv Frei Luis de Sousa,P,Via Parcialmente Pavimentada
11403,118958,TRV FRUTUOSO GOMES,Travessa Frutuoso Gomes,Trv Frutuoso Gomes,N,Via Não Pavimentada
9251,83860,TRV GARCIA,Travessa Garcia,Trv Garcia,S,Via Pavimentada
8088,70211,TRV GARIBALDE,Travessa Garibalde,Trv Garibalde,N,Via Não Pavimentada
10452,100854,TRV GARIBALDINA,Travessa Garibaldina,Trv Garibaldina,X,Não definida
11273,117404,TRV GASTAO VIDIGAL,Travessa Gastão Vidigal,Trv Gastao Vidigal,X,Não definida
10106,94870,TRV GENERAL JOSE MARIA LATINO,Travessa General José Maria Latino,Trv Gal José Maria Latino,N,Via Não Pavimentada
11839,700606,TRV GENERAL MENA BARRETO,Travessa General Mena Barreto,Trv Gal Mena Barreto,P,Via Parcialmente Pavimentada
9102,81973,TRV GENTIL CARDOSO,Travessa Gentil Cardoso,Trv Gentil Cardoso,S,Via Pavimentada
11345,118303,TRV GERSON DE BARROS PIRANGE,Travessa Gerson de Barros Pirange,Trv. Gerson de Barros Pirange,N,Via Não Pavimentada
11849,701122,TRV GOIANIRA,Travessa Goianira,Trv Goianira,N,Via Não Pavimentada
11542,121207,TRV GOCALO LEITAO,Travessa Gonçalo Leitão,Trv Gonçalo Leitão,S,Via Pavimentada
10536,107301,TRV GONCALVES DIAS,Travessa Gonçalves Dias,Trv Gonçalves Dias,N,Via Não Pavimentada
10909,112577,TRV GOVERNADOR ROBERTO SILVEIRA,Travessa Governador Roberto Silveira,Trv Gov Roberto Silveira,X,Não definida
11110,115053,TRV GOVERNADOR TORRES GALVAO,Travessa Governador Torres Galvão,Trv Gov Torres Galvao,X,Não definida
11277,117455,TRV GRAMINERA,Travessa Graminera,Trv Graminera,N,Via Não Pavimentada
11627,123447,TRV GRANADA,Travessa Granada,Trv Granada,S,Via Pavimentada
10271,97861,TRV GREGORIO JUNIOR,Travessa Gregório Júnior,Trv Gregorio Junior,S,Via Pavimentada
11023,114014,TRV GRENAL,Travessa Grenal,Trv Grenal,P,Via Parcialmente Pavimentada
10556,107336,TRV GUAIANAZES,Travessa Guaianazes,Trv Guaianazes,X,Não definida
9393,85669,TRV GUANABARA,Travessa Guanabara,Trv Guanabara,X,Não definida
8310,72710,TRV GUARACI,Travessa Guaraci,Trv Guaraci,X,Não definida
8964,80349,TRV GUARACIABA,Travessa Guaraciaba,Trv Guaraciaba,S,Via Pavimentada
11068,114545,TRV GUARAI,Travessa Guarai,Trv Guarai,N,Via Não Pavimentada
9564,87513,TRV GUARANILANDIA,Travessa Guaranilândia,Trv Guaranilandia,S,Via Pavimentada
11283,117528,TRV GUARDIAO MANOEL PACHECO,Travessa Guardião Manoel Pacheco,Trv Guardiao Manoel Pacheco,N,Via Não Pavimentada
10522,101630,TRV GUARULHOS,Travessa Guarulhos,Trv Guarulhos,N,Via Não Pavimentada
11842,700789,TRV GUAXUPE,Travessa Guaxupé,Trv Guaxupe,S,Via Pavimentada
11411,119040,TRV HAVAI,Travessa Havaí,Trv. Havaí,N,Via Não Pavimentada
11356,118435,TRV HELIOPOLIS,Travessa Heliópolis,Trv Heliopolis,X,Não definida
9084,81779,TRV HERMILIO GOMES,Travessa Hermílio Gomes,Trv Hermilio Gomes,N,Via Não Pavimentada
10072,94358,TRV HONOROPOLIS,Travessa Honoropolis,Trv Honoropolis,N,Via Não Pavimentada
10005,92673,TRV HORACIO SILVA,Travessa Horacio Silva,Trv Horacio Silva,X,Não definida
10640,109819,TRV HORIZONTINA,Travessa Horizontina,Trv Horizontina,S,Via Pavimentada
